name,time/op (ns/op),±
Gol/512x512x100-1-12,3.75857E+09,5%
Gol/512x512x100-2-12,2.36722E+09,8%
Gol/512x512x100-3-12,2.06683E+09,9%
Gol/512x512x100-4-12,1.74627E+09,18%
Gol/512x512x100-5-12,1.47481E+09,8%
Gol/512x512x100-6-12,1.46073E+09,11%
Gol/512x512x100-7-12,1.32085E+09,8%
Gol/512x512x100-8-12,1.25323E+09,8%
Gol/512x512x100-9-12,1.26711E+09,8%
Gol/512x512x100-10-12,1.16080E+09,5%
Gol/512x512x100-11-12,1.10920E+09,1%
Gol/512x512x100-12-12,1.19801E+09,3%
Gol/512x512x100-13-12,1.19773E+09,1%
Gol/512x512x100-14-12,1.16584E+09,1%
Gol/512x512x100-15-12,1.14399E+09,2%
Gol/512x512x100-16-12,1.12510E+09,2%
